"registration_id","hacker_id","username","nickname","github_raw","registered_at"
173984,320976,"mrfomo","Mrfomo","mrfomoweb3",1783622024
173987,322050,"fortyxbt","47","danielamodu",1783623445
173991,339028,"U_b6f2c312d9f813","KingBeeee","KingBeeee",1783630513
173996,299525,"U_da024620e31ac8","SHIVAM","Tech-Psycho95",1783636613
174005,225507,"U_f79f051c895d6e","hacker6f1ce13","yuvrajvibhute",1783665465
174015,337081,"NaveenMN","Natri","The-Natri",1783671178
174022,341918,"solocreative","Solocreative","solocreativeone",1783679085
174023,335529,"dimk","Dimitris Kazantzis","dimk472",1783679744
174027,327624,"savage27z","SAVAGE","Savage27z",1783685010
174031,342124,"xhy","xhy","",1783686700
174032,342142,"flare_turkey","Flare Turkey","",1783688255
174034,177254,"U_779cdd0951cc1","HeraCross","contributorsambhav",1783692317
174037,338709,"gxxobst","gxxobst","",1783694070
174039,338260,"Vodka007","James Chettupuzhakkaran","Jaymzzzzzzzzz",1783695139
174043,342152,"U_e8c09e66b25f26","Shanmugapriyan M A","",1783699793
174049,341488,"loficoded","Mark","loficoded",1783710019
174065,335901,"mojeebdev","mojeebdev","mojeebdev",1783741155
174082,340969,"onchaindc","onchaindc","onchaindc",1783754426
174090,309927,"U_6ee8107edfc3a5","hacker887f79f","",1783766100
174092,252884,"U_b7c6704600d5d1","hacker76f5a42-prop","uduakobongjames55-pixel",1783767767
174103,333529,"Zerrxxz","Zerxxz","Zerxxz",1783774990
174112,122478,"Replytim","replytim001","Timothyfranx",1783780639
174123,339213,"Six_6","Vedantgosling","Vedantgosling",1783783507
174127,309455,"U_b0b44c0e5dcb53","Lucas Buigley","zzzbedream",1783785573
174128,322038,"tushar598","Tushar Singh Chouhan","tushar598",1783785951
174131,216879,"anamasgard","anamasgard","ANAMASGARD",1783787990
174159,99935,"U_f01643f638f26e","finisher","successaje",1783813032
174184,333384,"ace_won","ace","ace-coderr",1783828143
174193,252087,"U_6c066f4cf21e06","ManuelPrhyme","ManuelPrhyme",1783836277
174200,279111,"lviffy","Rohan","lviffy",1783839655
174203,341873,"U_246940f04e485c","hacker3799677","nonggde",1783842015
174214,240784,"arisnanda001","Arisnanda","arisnand01",1783846311
174219,304281,"raghavsharma","Raghav Sharma","Some1Uknow",1783851142
174223,342301,"U_4ff56f16f813d7","hacker1aae83d","",1783852939
174224,325784,"quabnation","Investorquab","Investorquab",1783854402
174225,321224,"patlu","patlu_sh","wurli-sh",1783855466
174235,323062,"Dev_on_block","Dev-In-Crypt","Dev-In-Crypt",1783863341
174261,337658,"U_29e581745d9a03","HugenOG","ffffffffhugfadil",1783872586
174263,341020,"rohitsingh","Rohit Singh Raikwar","rohitsingh-01",1783874143
174271,97752,"last_kryptonian","last_kryptonian","iBrainiac",1783878677
174282,72043,"papajams","thisyearnofear","thisyearnofear",1783900927
174285,338735,"tangvu","Tang Vu","tang-vu",1783907795
174286,208027,"musaga","jerrymusaga","jerrymusaga",1783909594
174289,342358,"Haren_huang","huangharen","huangharen",1783914928
174298,331782,"juangh123","Jason Huang","",1783929027
174305,226822,"martian3062","Pardeep","martian3062",1783939575
174308,342369,"nthmoment","Ram","NthMOMENT",1783940691
174317,154305,"U_b13efea83ba82a","trudransh","trudransh",1783947694
174325,327792,"love_light_11","Sky","Nifemi0",1783963548
174334,342440,"goyal","Ajeet Goyal","ajeet97",1783969376
174340,342413,"uy_scutty","uy scutty","uy-scutty",1783976441
174342,342445,"U_8a2816ec794fd7","hacker64b2825","",1783978288
174356,331460,"Magnuskrypt","Xrey","0xNexuz",1783999242
174373,342480,"SharkHand3","SharkHand3","SharkHand3",1784014781
174382,339753,"don1995","don_z","",1784021852
174399,105063,"U_4bd452f6b1293f","Imdavyking","",1784032902
174406,300314,"mdfaizee19","Faizee","mdfaizee19",1784036794
174408,327735,"U_7275907d3fa1f4","hacker3fdb119","kanagaabishek",1784037994
174434,342555,"U_24cyg","Salem Ododa","salemzii",1784058971
174445,335846,"U_72f5eb215349d3","Uthmannabeel","Uthmannabeel",1784068144
174471,342609,"U_0b2172add72e0f","yangyangnovelist-hub","yangyangnovelist-hub",1784112302
174475,228349,"U_3d514b5aa8459b","hacker93ab771","alokrajshahi04",1784122762
174477,317060,"qdee","qdee","dolepee",1784124441
174478,208267,"ikemHood","ikemHood","ikemHood",1784124477
174480,342245,"U_24eb7dd033c42","Coder-blessed","coder-blessed",1784125913
